,time,low,high,open,close,volume
26,14:45:00,10178.91,10189.34,10184.01,10181.21,17.80642418
25,14:50:00,10179.73,10194.48,10181.2,10180.99,14.94542476
24,14:55:00,10177.5,10181.0,10181.0,10180.94,15.57125362
23,15:00:00,10177.5,10181.0,10180.99,10177.5,11.35826492
22,15:05:00,10177.5,10209.0,10177.51,10203.34,17.43154033
21,15:10:00,10191.27,10204.95,10203.34,10194.55,13.57060287
20,15:15:00,10193.73,10197.91,10194.56,10197.0,13.59761425
19,15:20:00,10195.36,10200.0,10195.36,10200.0,40.58950546
18,15:25:00,10200.0,10215.15,10200.0,10214.74,20.306631
17,15:30:00,10214.73,10220.0,10214.73,10220.0,20.57541715
16,15:35:00,10205.61,10229.32,10220.0,10207.14,35.48984772
15,15:40:00,10205.35,10209.25,10207.2,10209.09,8.60295402
14,15:45:00,10206.66,10219.25,10207.13,10219.25,9.46841331
13,15:50:00,10216.33,10228.64,10220.05,10226.7,19.62076537
12,15:55:00,10206.19,10228.07,10226.04,10213.16,14.91062764
11,16:00:00,10210.0,10225.43,10214.71,10213.93,15.07356345
10,16:05:00,10211.43,10223.23,10213.94,10223.0,9.68183105
9,16:10:00,10220.87,10232.9,10221.82,10230.0,13.6988391
8,16:15:00,10230.81,10248.97,10232.14,10241.61,96.56561740000001
7,16:20:00,10240.11,10252.02,10240.11,10248.48,12.78321495
6,16:25:00,10221.38,10248.27,10248.27,10234.98,49.62961825
5,16:30:00,10234.97,10240.0,10234.97,10239.69,18.81570906
4,16:35:00,10239.66,10248.5,10239.69,10239.67,15.35960626
3,16:40:00,10224.22,10240.85,10239.67,10227.98,17.715241
2,16:45:00,10217.51,10227.99,10227.99,10225.35,7.0911024000000005
1,16:50:00,10225.64,10246.7,10225.65,10235.52,20.91733431
0,16:55:00,10229.16,10248.81,10235.53,10236.49,24.16172849
